customer_id,acq_month,channel,geo,income_band,acq_type,monthly_fee,observed_tenure_months,status,revenue_to_date,acquisition_cost
C1030,2025-01,referral,CA,high,full_price,13,10,active,135.0,17.85
C1031,2025-02,search,US,high,full_price,13,6,churned,81.0,26.99
C1032,2025-03,search,US,low,full_price,13,8,active,104.0,23.33
C1033,2025-04,referral,UK,mid,discount,15,7,active,111.0,2.25
C1034,2025-05,search,UK,high,full_price,15,6,active,106.0,24.25
C1035,2025-06,referral,UK,high,full_price,15,5,active,60.0,8.62
C1036,2025-01,search,IN,low,discount,13,2,churned,26.0,19.98
C1037,2025-02,referral,CA,high,full_price,15,9,active,139.0,13.25
C1038,2025-03,search,IN,low,full_price,13,8,active,114.0,13.58
C1039,2025-04,paid_social,UK,low,discount,17,7,active,108.0,31.05
C1040,2025-05,paid_social,IN,low,discount,15,4,churned,64.25,31.23
C1041,2025-06,referral,IN,mid,discount,17,3,churned,29.5,12.84
C1042,2025-01,paid_social,UK,mid,discount,15,5,churned,62.25,14.36
C1043,2025-02,paid_social,CA,high,full_price,17,9,active,159.0,18.63
C1044,2025-03,paid_social,CA,high,full_price,17,8,active,160.0,35.11
C1045,2025-04,referral,CA,high,full_price,13,7,active,95.0,15.23
C1046,2025-05,paid_social,UK,low,discount,13,6,active,78.0,24.01
C1047,2025-06,paid_social,US,mid,discount,15,5,active,75.0,27.29
C1048,2025-01,referral,US,low,full_price,13,10,active,104.0,13.66
C1049,2025-02,referral,IN,mid,discount,15,5,churned,75.0,10.61
C1050,2025-03,referral,IN,low,discount,13,2,churned,26.0,7.53
C1051,2025-04,paid_social,IN,low,discount,13,5,churned,64.5,23.9
C1052,2025-05,paid_social,US,mid,full_price,15,6,active,90.0,22.27
C1053,2025-06,paid_social,CA,mid,full_price,17,5,active,85.0,26.9
C1054,2025-01,referral,US,high,full_price,15,10,active,139.0,8.52
C1055,2025-02,paid_social,CA,mid,discount,17,7,churned,135.0,31.77
C1056,2025-03,referral,UK,low,discount,13,1,churned,13.0,10.15
C1057,2025-04,search,US,mid,full_price,13,7,active,97.0,21.18
C1058,2025-05,referral,CA,mid,full_price,17,6,active,108.0,12.05
C1059,2025-06,search,IN,mid,discount,15,1,churned,15.0,25.27
C1060,2025-01,referral,IN,mid,discount,17,8,churned,141.5,9.33
C1061,2025-02,referral,US,mid,discount,15,5,churned,75.0,12.91
C1062,2025-03,search,IN,low,discount,13,1,churned,13.0,22.51
C1063,2025-04,referral,UK,low,discount,13,2,churned,26.0,10.91
C1064,2025-05,search,CA,high,full_price,15,6,active,96.0,21.7
C1065,2025-06,referral,US,low,discount,13,5,active,65.0,11.28
C1066,2025-01,paid_social,US,low,discount,13,10,active,127.0,27.58
C1067,2025-02,referral,UK,mid,discount,15,8,churned,134.0,9.45
C1068,2025-03,search,IN,mid,discount,17,6,churned,108.0,20.22
C1069,2025-04,search,CA,mid,full_price,15,7,active,105.0,19.68
C1070,2025-05,referral,IN,mid,discount,17,1,churned,17.0,6.36
C1071,2025-06,paid_social,IN,mid,discount,13,1,churned,13.0,22.38
C1072,2025-01,search,US,high,full_price,15,10,active,154.0,21.9
C1073,2025-02,search,US,low,full_price,13,5,churned,69.0,27.17
C1074,2025-03,paid_social,US,low,full_price,17,8,active,148.0,40.31
C1075,2025-04,referral,IN,mid,discount,15,7,churned,111.0,15.63
C1076,2025-05,paid_social,UK,low,discount,13,6,active,78.0,24.01
C1077,2025-06,search,IN,low,discount,13,1,churned,6.5,21.46
C1078,2025-01,referral,UK,high,discount,17,2,churned,34.0,14.5
C1079,2025-02,paid_social,UK,mid,discount,15,2,churned,30.0,33.43
C1080,2025-03,referral,CA,mid,full_price,17,8,active,144.0,6.59
C1081,2025-04,search,CA,mid,full_price,17,7,active,125.0,18.32
C1082,2025-05,paid_social,CA,low,discount,13,2,churned,26.0,31.69
C1083,2025-06,paid_social,US,high,full_price,15,5,active,81.0,26.62
C1084,2025-01,search,UK,low,discount,13,7,churned,106.5,24.5
C1085,2025-02,referral,UK,low,discount,13,9,churned,116.0,9.36
C1086,2025-03,referral,IN,low,discount,13,2,churned,26.0,5.21
C1087,2025-04,referral,CA,mid,discount,15,4,churned,52.5,7.73
C1088,2025-05,paid_social,US,low,discount,15,3,churned,47.25,30.63
C1089,2025-06,paid_social,US,high,full_price,17,5,active,99.0,28.59
C1090,2025-01,paid_social,IN,low,discount,17,5,churned,80.5,21.05
C1091,2025-02,referral,US,mid,discount,15,3,churned,53.0,9.33
C1092,2025-03,paid_social,UK,low,discount,13,5,churned,65.0,38.29
C1093,2025-04,search,US,mid,full_price,15,7,active,123.0,20.41
C1094,2025-05,search,CA,low,full_price,13,6,active,86.0,22.42
C1095,2025-06,search,US,low,full_price,13,5,active,52.0,22.7
C1096,2025-01,referral,UK,low,full_price,15,5,churned,77.25,15.44
C1097,2025-02,referral,UK,mid,discount,15,9,active,139.0,9.91
C1098,2025-03,search,US,high,full_price,17,8,active,150.0,18.13
C1099,2025-04,paid_social,CA,low,full_price,13,7,active,91.0,35.27
C1100,2025-05,paid_social,US,mid,discount,17,6,active,102.0,32.52
C1101,2025-06,search,CA,mid,full_price,15,5,active,79.0,26.54
C1102,2025-01,referral,CA,low,full_price,13,8,churned,116.0,15.2
C1103,2025-02,referral,UK,low,discount,13,5,churned,52.0,12.89
C1104,2025-03,search,UK,low,discount,13,1,churned,19.0,21.85
C1105,2025-04,search,IN,low,full_price,15,7,active,96.0,12.64
C1106,2025-05,paid_social,UK,low,discount,13,1,churned,9.75,32.58
C1107,2025-06,search,IN,low,discount,13,5,active,56.0,21.97
C1108,2025-01,search,CA,high,full_price,17,9,churned,105.5,24.42
C1109,2025-02,paid_social,CA,low,full_price,13,6,churned,79.5,23.21
C1110,2025-03,paid_social,US,mid,full_price,13,8,active,91.0,23.35
C1111,2025-04,referral,US,high,discount,15,2,churned,22.5,8.47
C1112,2025-05,paid_social,IN,mid,full_price,13,6,active,78.0,26.72
C1113,2025-06,paid_social,UK,high,discount,17,5,active,85.0,32.38
C1114,2025-01,paid_social,UK,low,discount,13,8,churned,91.0,21.41
C1115,2025-02,referral,UK,mid,full_price,15,5,churned,71.25,7.57
C1116,2025-03,paid_social,US,low,discount,13,6,churned,94.0,26.35
C1117,2025-04,search,UK,mid,full_price,15,7,active,113.0,31.28
C1118,2025-05,referral,UK,high,full_price,13,6,active,88.0,12.58
C1119,2025-06,referral,UK,low,discount,13,1,churned,13.0,7.11
C1120,2025-01,referral,IN,low,discount,13,7,churned,99.0,11.56
C1121,2025-02,paid_social,CA,low,full_price,13,2,churned,9.75,31.08
C1122,2025-03,paid_social,US,low,discount,15,2,churned,26.25,24.9
C1123,2025-04,referral,US,mid,full_price,17,7,active,102.0,11.25
C1124,2025-05,referral,IN,mid,discount,15,3,churned,41.5,14.67
C1125,2025-06,referral,US,mid,full_price,17,5,active,89.0,13.92
C1126,2025-01,referral,IN,mid,discount,15,1,churned,15.0,8.63
C1127,2025-02,search,IN,high,full_price,15,9,active,141.0,19.99
C1128,2025-03,referral,UK,low,discount,13,3,churned,44.5,14.29
C1129,2025-04,search,US,low,discount,13,5,churned,71.0,24.83
C1130,2025-05,referral,UK,high,full_price,17,1,churned,8.5,13.85
C1131,2025-06,search,IN,low,discount,15,5,churned,83.0,25.85
C1132,2025-01,referral,UK,low,discount,13,5,churned,52.0,13.3
C1133,2025-02,paid_social,CA,mid,discount,15,9,active,124.0,26.25
C1134,2025-03,search,IN,low,full_price,13,8,active,112.0,21.29
C1135,2025-04,referral,US,mid,discount,15,7,churned,121.0,11.72
C1136,2025-05,search,IN,mid,discount,15,3,churned,37.5,17.27
C1137,2025-06,referral,UK,low,discount,13,2,churned,26.0,12.7
C1138,2025-01,search,IN,mid,full_price,15,10,active,164.0,21.02
C1139,2025-02,search,US,high,discount,17,7,churned,122.5,20.94
C1140,2025-03,paid_social,IN,mid,full_price,15,8,active,94.0,26.16
C1141,2025-04,paid_social,US,high,full_price,17,7,active,127.0,26.12
C1142,2025-05,paid_social,UK,mid,full_price,13,6,active,86.0,28.67
C1143,2025-06,referral,US,mid,discount,15,1,churned,15.0,9.65
C1144,2025-01,referral,CA,mid,discount,15,10,active,150.0,14.14
C1145,2025-02,search,IN,low,full_price,15,9,active,157.0,18.06
C1146,2025-03,referral,CA,high,full_price,15,8,active,119.0,10.82
C1147,2025-04,referral,US,mid,discount,13,5,churned,62.5,5.55
C1148,2025-05,referral,US,mid,discount,15,3,churned,45.0,12.06
C1149,2025-06,referral,IN,mid,discount,15,5,active,75.0,11.82
C1150,2025-01,paid_social,US,mid,full_price,15,10,active,135.0,30.8
C1151,2025-02,search,US,high,full_price,17,9,active,183.0,17.89
C1152,2025-03,paid_social,UK,low,full_price,13,8,active,104.0,26.19
C1153,2025-04,paid_social,IN,mid,full_price,17,7,active,125.0,16.95
C1154,2025-05,search,UK,low,full_price,17,6,active,91.0,21.28
C1155,2025-06,paid_social,CA,low,full_price,15,5,active,81.0,23.59
C1156,2025-01,referral,US,mid,discount,15,2,churned,42.0,11.83
C1157,2025-02,paid_social,US,mid,full_price,15,9,active,159.0,29.28
C1158,2025-03,referral,IN,mid,discount,15,8,active,128.0,10.67
C1159,2025-04,search,CA,low,full_price,13,7,active,78.0,19.11
C1160,2025-05,paid_social,US,mid,discount,17,6,active,102.0,30.55
C1161,2025-06,referral,CA,low,full_price,13,5,active,69.0,8.59
C1162,2025-01,paid_social,US,high,full_price,15,10,active,158.0,25.3
C1163,2025-02,referral,IN,low,discount,15,2,churned,30.0,13.01
C1164,2025-03,search,US,low,full_price,15,8,active,113.0,24.49
C1165,2025-04,paid_social,IN,low,discount,13,2,churned,19.0,31.19
C1166,2025-05,search,UK,mid,full_price,15,6,active,96.0,23.04
C1167,2025-06,search,IN,high,discount,17,5,active,97.0,23.18
C1168,2025-01,search,CA,mid,full_price,13,10,active,148.0,25.22
C1169,2025-02,paid_social,UK,high,full_price,15,9,active,143.0,22.98
C1170,2025-03,paid_social,US,low,full_price,13,8,active,108.0,31.78
C1171,2025-04,paid_social,IN,mid,discount,15,2,churned,30.0,23.36
C1172,2025-05,paid_social,IN,mid,discount,15,3,churned,45.0,16.95
C1173,2025-06,referral,US,low,discount,17,1,churned,12.75,9.72
C1174,2025-01,search,CA,low,discount,13,10,churned,126.75,22.57
C1175,2025-02,paid_social,CA,low,discount,15,3,churned,37.5,31.63
C1176,2025-03,referral,UK,low,discount,15,7,churned,96.0,9.81
C1177,2025-04,search,US,low,full_price,13,7,active,95.0,24.64
C1178,2025-05,search,US,low,full_price,15,6,active,75.0,22.83
C1179,2025-06,paid_social,US,low,full_price,15,5,churned,79.0,7.23
C1180,2025-01,referral,IN,mid,discount,13,10,active,148.0,11.61
C1181,2025-02,search,CA,high,full_price,15,9,active,124.0,24.48
C1182,2025-03,referral,CA,mid,full_price,13,8,active,104.0,10.78
C1183,2025-04,paid_social,CA,low,discount,15,1,churned,11.25,30.63
C1184,2025-05,paid_social,IN,high,full_price,17,6,active,106.0,39.74
C1185,2025-06,referral,IN,low,discount,13,3,churned,38.5,7.46
C1186,2025-01,search,UK,mid,full_price,15,10,active,158.0,23.01
C1187,2025-02,paid_social,US,low,discount,17,6,churned,97.0,27.1
C1188,2025-03,referral,US,low,full_price,13,6,churned,86.0,12.14
C1189,2025-04,search,US,low,discount,17,7,active,125.0,16.92
C1190,2025-05,referral,US,low,discount,15,1,churned,15.0,7.47
C1191,2025-06,paid_social,US,high,full_price,15,5,active,75.0,23.51
C1192,2025-01,search,CA,mid,full_price,15,6,churned,71.25,22.28
C1193,2025-02,search,IN,high,full_price,15,6,churned,98.0,28.06
C1194,2025-03,paid_social,US,mid,full_price,15,6,churned,90.5,27.69
C1195,2025-04,search,CA,low,full_price,13,7,active,99.0,18.33
C1196,2025-05,referral,US,low,discount,13,2,churned,26.0,10.59
C1197,2025-06,search,UK,mid,full_price,15,5,active,64.0,12.76
C1198,2025-01,referral,UK,mid,discount,15,2,churned,30.0,9.48
C1199,2025-02,referral,IN,mid,discount,17,5,churned,85.0,14.07
C1200,2025-03,referral,US,mid,discount,15,1,churned,11.25,6.02
C1201,2025-04,paid_social,UK,mid,full_price,15,7,active,90.0,39.82
C1202,2025-05,search,CA,low,full_price,13,6,active,73.0,25.1
C1203,2025-06,search,CA,low,full_price,15,5,active,81.0,20.57
C1204,2025-01,search,UK,mid,full_price,15,5,churned,56.25,26.89
C1205,2025-02,search,US,low,full_price,13,9,active,108.0,26.74
C1206,2025-03,search,US,high,full_price,17,1,churned,25.0,28.92
C1207,2025-04,referral,US,mid,discount,17,7,active,131.0,15.03
C1208,2025-05,paid_social,IN,low,discount,13,6,churned,88.0,33.47
C1209,2025-06,search,UK,mid,full_price,13,5,active,75.0,21.62
C1210,2025-01,paid_social,UK,high,full_price,15,10,active,182.0,26.29
C1211,2025-02,search,US,mid,full_price,17,9,active,181.0,13.76
C1212,2025-03,referral,IN,high,discount,15,1,churned,11.25,15.74
C1213,2025-04,search,IN,mid,discount,15,5,churned,56.25,22.5
C1214,2025-05,paid_social,IN,low,discount,13,2,churned,26.0,31.18
C1215,2025-06,search,IN,mid,full_price,15,5,active,83.0,12.88
C1216,2025-01,search,US,mid,full_price,15,10,active,162.0,16.29
C1217,2025-02,referral,IN,mid,discount,15,3,churned,41.25,12.41
C1218,2025-03,referral,US,low,discount,13,8,active,99.0,7.99
C1219,2025-04,paid_social,CA,mid,full_price,13,7,active,95.0,22.04
C1220,2025-05,paid_social,US,mid,full_price,15,6,active,90.0,28.38
C1221,2025-06,search,US,high,discount,17,5,active,93.0,25.97
C1222,2025-01,referral,US,high,full_price,15,10,active,135.0,8.03
C1223,2025-02,search,US,low,full_price,15,9,active,145.0,15.78
C1224,2025-03,referral,CA,mid,discount,15,8,active,96.0,4.19
C1225,2025-04,paid_social,US,mid,full_price,15,7,active,96.0,31.18
C1226,2025-05,search,CA,low,full_price,13,6,active,82.0,23.13
C1227,2025-06,paid_social,IN,high,full_price,13,5,active,73.0,21.8
C1228,2025-01,paid_social,UK,mid,full_price,17,10,active,153.0,29.99
C1229,2025-02,paid_social,UK,low,discount,13,1,churned,17.0,36.72
C1230,2025-03,paid_social,IN,mid,full_price,15,8,active,148.0,25.09
C1231,2025-04,search,IN,low,discount,13,7,active,91.0,25.4
C1232,2025-05,referral,CA,mid,full_price,13,5,churned,61.75,12.71
C1233,2025-06,paid_social,IN,mid,discount,17,1,churned,20.75,29.55
C1234,2025-01,referral,IN,high,discount,17,10,active,188.0,13.88
C1235,2025-02,paid_social,IN,low,discount,13,5,churned,71.0,27.13
C1236,2025-03,search,IN,low,discount,13,1,churned,13.0,20.14
C1237,2025-04,search,IN,high,full_price,17,7,active,114.0,26.54
C1238,2025-05,paid_social,CA,low,full_price,13,1,churned,21.0,31.24
C1239,2025-06,referral,US,mid,discount,13,5,active,75.0,10.49
C1240,2025-01,search,US,mid,discount,13,2,churned,26.0,23.25
C1241,2025-02,referral,UK,mid,full_price,15,9,active,130.0,17.98
C1242,2025-03,referral,UK,high,discount,17,3,churned,46.75,9.79
C1243,2025-04,search,CA,low,full_price,15,7,active,75.0,27.07
C1244,2025-05,paid_social,CA,mid,discount,15,6,active,104.0,28.61
C1245,2025-06,search,US,mid,full_price,15,5,active,79.0,20.21
C1246,2025-01,search,IN,low,discount,13,5,churned,61.75,15.5
C1247,2025-02,paid_social,US,mid,full_price,15,9,active,143.0,32.28
C1248,2025-03,paid_social,US,low,discount,13,7,churned,94.0,41.44
C1249,2025-04,referral,US,low,full_price,13,7,active,84.0,7.84
C1250,2025-05,paid_social,UK,mid,full_price,13,6,active,92.0,22.85
C1251,2025-06,search,UK,low,discount,13,3,churned,44.5,28.8
C1252,2025-01,paid_social,IN,low,discount,13,3,churned,39.0,30.95
C1253,2025-02,referral,IN,low,discount,15,9,active,141.0,14.29
C1254,2025-03,referral,UK,low,full_price,13,8,active,103.0,8.2
C1255,2025-04,referral,US,mid,full_price,17,7,active,118.0,9.13
C1256,2025-05,referral,IN,low,discount,13,6,active,69.0,9.73
C1257,2025-06,referral,US,low,discount,13,5,active,65.0,20.5
C1258,2025-01,search,US,low,full_price,15,10,active,149.0,34.69
C1259,2025-02,referral,IN,low,discount,13,5,churned,65.0,14.26
C1260,2025-03,paid_social,UK,high,full_price,17,8,active,144.0,35.63
C1261,2025-04,search,IN,mid,discount,13,7,active,90.0,14.47
C1262,2025-05,paid_social,CA,mid,full_price,15,6,active,90.0,33.62
C1263,2025-06,referral,UK,high,discount,17,2,churned,34.0,10.66
C1264,2025-01,search,US,high,full_price,17,8,churned,150.0,14.96
C1265,2025-02,search,IN,mid,discount,13,2,churned,27.5,28.32
C1266,2025-03,paid_social,CA,high,discount,13,6,churned,71.0,24.22
C1267,2025-04,referral,US,high,full_price,15,7,active,96.0,13.27
C1268,2025-05,paid_social,US,mid,full_price,13,4,churned,51.5,28.31
C1269,2025-06,search,US,low,discount,13,1,churned,-3.25,14.78
C1270,2025-01,paid_social,UK,low,discount,13,9,churned,108.0,28.4
C1271,2025-02,referral,UK,low,discount,13,3,churned,39.0,11.11
C1272,2025-03,search,UK,mid,full_price,13,4,churned,53.5,9.18
C1273,2025-04,search,US,low,full_price,13,7,active,91.0,20.37
C1274,2025-05,referral,US,low,full_price,15,6,active,87.0,12.7
C1275,2025-06,search,CA,low,full_price,13,5,active,73.0,18.87
C1276,2025-01,search,UK,low,discount,13,1,churned,17.0,25.92
C1277,2025-02,search,US,high,discount,17,9,churned,159.0,17.34
C1278,2025-03,search,US,high,full_price,17,8,active,89.0,29.19
C1279,2025-04,paid_social,UK,low,discount,13,7,churned,97.0,31.95
C1280,2025-05,referral,US,mid,full_price,13,6,active,94.0,3.9
C1281,2025-06,paid_social,IN,mid,discount,17,5,active,85.0,24.13
C1282,2025-01,paid_social,UK,mid,discount,15,3,churned,49.0,24.74
C1283,2025-02,search,UK,low,full_price,15,9,active,128.0,24.34
C1284,2025-03,paid_social,UK,low,full_price,13,1,churned,6.5,16.09
C1285,2025-04,paid_social,IN,mid,discount,15,1,churned,21.0,35.93
C1286,2025-05,paid_social,US,mid,discount,17,2,churned,34.0,25.81
C1287,2025-06,search,IN,low,discount,13,5,active,79.0,23.23
C1288,2025-01,search,IN,low,discount,13,10,active,140.0,23.85
C1289,2025-02,search,UK,high,full_price,17,9,active,153.0,26.68
C1290,2025-03,paid_social,US,high,full_price,17,8,active,136.0,29.73
C1291,2025-04,referral,UK,low,discount,13,2,churned,26.0,11.42
C1292,2025-05,paid_social,UK,low,discount,13,6,active,78.0,29.25
C1293,2025-06,paid_social,IN,low,discount,13,1,churned,13.0,27.21
C1294,2025-01,referral,US,high,discount,17,2,churned,34.0,10.38
C1295,2025-02,referral,IN,low,discount,13,9,active,104.0,11.65
C1296,2025-03,search,CA,low,full_price,13,8,active,110.0,24.9
C1297,2025-04,referral,IN,mid,discount,17,7,active,125.0,11.28
C1298,2025-05,referral,IN,low,discount,13,6,active,82.0,14.26
C1299,2025-06,referral,CA,high,full_price,17,5,active,91.0,8.98
C1300,2025-01,paid_social,CA,mid,full_price,13,10,active,138.0,33.21
C1301,2025-02,referral,IN,high,discount,17,9,active,161.0,12.61
C1302,2025-03,referral,US,high,discount,15,2,churned,30.0,8.76
C1303,2025-04,referral,US,low,discount,13,3,churned,38.5,10.56
C1304,2025-05,search,US,low,full_price,13,6,active,90.0,15.71
C1305,2025-06,search,US,high,full_price,13,5,active,65.0,15.81
C1306,2025-01,paid_social,US,low,full_price,13,10,active,133.0,25.04
C1307,2025-02,search,UK,mid,full_price,15,9,active,149.0,15.23
C1308,2025-03,referral,CA,high,discount,13,1,churned,21.0,11.54
C1309,2025-04,search,US,high,full_price,17,7,active,125.0,25.86
C1310,2025-05,paid_social,US,low,full_price,13,6,active,88.0,26.35
C1311,2025-06,paid_social,IN,low,discount,13,5,active,65.0,36.23
C1312,2025-01,paid_social,CA,mid,full_price,17,10,active,170.0,31.9
C1313,2025-02,search,US,high,full_price,15,7,churned,109.0,16.73
C1314,2025-03,search,US,mid,discount,15,7,churned,97.5,18.55
C1315,2025-04,search,US,low,full_price,15,7,active,105.0,22.22
C1316,2025-05,referral,US,low,full_price,13,6,active,84.0,11.06
C1317,2025-06,search,CA,mid,full_price,17,5,active,93.0,23.11
C1318,2025-01,referral,IN,low,discount,13,8,churned,91.0,6.5
C1319,2025-02,paid_social,US,low,full_price,13,9,active,125.0,29.62
C1320,2025-03,referral,US,high,full_price,15,8,active,112.0,10.37
C1321,2025-04,search,UK,low,full_price,13,7,active,97.0,23.1
C1322,2025-05,paid_social,UK,mid,discount,17,6,active,110.0,31.61
C1323,2025-06,search,US,mid,full_price,15,5,active,68.0,29.56
C1324,2025-01,paid_social,IN,low,discount,15,10,active,160.0,41.44
C1325,2025-02,search,UK,high,full_price,17,9,active,153.0,22.59
C1326,2025-03,search,CA,low,full_price,15,8,active,121.0,22.94
C1327,2025-04,search,CA,low,full_price,13,7,active,99.0,20.83
C1328,2025-05,paid_social,UK,low,discount,13,6,active,75.0,40.82
C1329,2025-06,referral,CA,high,full_price,15,5,active,91.0,3.04
C1330,2025-01,referral,IN,low,discount,13,10,churned,106.75,12.12
C1331,2025-02,paid_social,US,mid,full_price,15,9,active,136.0,30.45
C1332,2025-03,referral,IN,mid,discount,15,2,churned,30.0,13.49
C1333,2025-04,search,US,low,discount,13,7,active,91.0,25.93
C1334,2025-05,search,US,low,discount,15,4,churned,60.0,25.33
C1335,2025-06,search,US,mid,full_price,17,5,active,93.0,20.83
C1336,2025-01,search,US,mid,full_price,15,10,active,121.0,22.36
C1337,2025-02,search,CA,high,full_price,17,9,active,144.0,22.9
C1338,2025-03,referral,UK,high,full_price,17,8,active,137.0,12.48
C1339,2025-04,search,UK,high,discount,17,2,churned,38.0,23.63
C1340,2025-05,referral,UK,mid,full_price,17,6,active,108.0,18.28
C1341,2025-06,referral,IN,mid,discount,15,5,churned,83.0,11.7
C1342,2025-01,search,US,mid,discount,17,4,churned,59.5,22.86
C1343,2025-02,search,CA,low,full_price,13,9,active,117.0,28.25
C1344,2025-03,search,US,low,full_price,13,8,active,122.0,30.58
C1345,2025-04,paid_social,US,high,full_price,17,7,active,125.0,31.54
C1346,2025-05,paid_social,US,high,full_price,17,6,active,108.0,34.57
C1347,2025-06,search,CA,low,full_price,13,5,active,71.0,28.92
C1348,2025-01,paid_social,US,low,discount,13,9,churned,118.0,28.17
C1349,2025-02,paid_social,IN,mid,discount,15,9,active,111.0,21.04
C1350,2025-03,search,CA,high,full_price,17,8,active,140.0,27.37
C1351,2025-04,paid_social,US,low,discount,13,2,churned,30.75,22.39
C1352,2025-05,referral,UK,low,discount,15,2,churned,30.0,5.85
C1353,2025-06,paid_social,UK,mid,full_price,15,4,churned,64.0,36.39
C1354,2025-01,paid_social,US,low,discount,13,6,churned,94.0,30.71
C1355,2025-02,paid_social,US,high,full_price,15,9,active,149.0,28.11
C1356,2025-03,paid_social,US,low,full_price,17,8,active,119.0,31.96
C1357,2025-04,paid_social,UK,mid,full_price,13,7,active,71.0,15.97
C1358,2025-05,paid_social,US,high,full_price,17,2,churned,34.0,24.28
C1359,2025-06,paid_social,US,mid,full_price,15,5,active,83.0,25.61
C1360,2025-01,search,UK,high,discount,15,10,active,141.0,19.49
C1361,2025-02,search,US,mid,full_price,17,4,churned,80.0,29.0
C1362,2025-03,search,UK,high,full_price,15,8,active,136.0,23.35
C1363,2025-04,referral,UK,high,discount,13,1,churned,13.0,4.57
C1364,2025-05,search,US,mid,full_price,15,6,active,98.0,18.5
C1365,2025-06,search,US,mid,full_price,17,5,active,93.0,19.98
C1366,2025-01,paid_social,US,mid,full_price,17,10,active,180.0,30.42
C1367,2025-02,referral,IN,low,discount,13,4,churned,66.0,10.32
C1368,2025-03,paid_social,IN,high,discount,15,1,churned,15.0,32.82
C1369,2025-04,search,IN,high,full_price,15,7,active,111.0,21.84
C1370,2025-05,referral,IN,low,discount,13,2,churned,23.5,12.81
C1371,2025-06,paid_social,US,mid,full_price,15,5,active,75.0,30.1
C1372,2025-01,paid_social,CA,mid,full_price,17,8,churned,149.5,21.89
C1373,2025-02,referral,CA,mid,full_price,17,9,active,119.0,10.62
C1374,2025-03,referral,US,low,discount,13,4,churned,52.0,11.97
C1375,2025-04,search,US,high,full_price,17,7,active,131.0,26.07
C1376,2025-05,search,IN,mid,full_price,17,6,active,106.0,19.18
C1377,2025-06,referral,IN,low,discount,15,1,churned,19.0,13.81
C1378,2025-01,search,IN,low,discount,13,5,churned,74.5,26.58
C1379,2025-02,referral,IN,mid,discount,15,9,active,143.0,13.64
C1380,2025-03,paid_social,US,mid,discount,15,3,churned,37.5,24.5
C1381,2025-04,referral,US,mid,full_price,13,7,active,99.0,9.76
C1382,2025-05,paid_social,IN,low,full_price,13,1,churned,13.0,26.91
C1383,2025-06,search,UK,high,full_price,15,5,active,75.0,29.94
C1384,2025-01,search,US,low,discount,15,1,churned,15.0,21.59
C1385,2025-02,paid_social,CA,mid,discount,15,6,churned,75.5,17.14
C1386,2025-03,referral,IN,low,discount,13,7,churned,84.0,7.84
C1387,2025-04,referral,IN,mid,discount,15,1,churned,15.0,7.81
C1388,2025-05,search,US,mid,full_price,13,6,active,88.0,16.61
C1389,2025-06,referral,CA,high,full_price,17,5,active,95.0,20.17
C1390,2025-01,paid_social,UK,low,discount,15,1,churned,7.5,31.95
C1391,2025-02,search,CA,high,full_price,15,9,active,135.0,16.69
C1392,2025-03,search,US,low,full_price,15,8,active,121.0,22.84
