date,campaign,spend_usd,impressions,cpm_usd,clicks,ctr_pct,cpc_usd
2025-04-29,steep_traffic_q2,993,83387,11.91,1509,1.81,0.66
2025-04-30,steep_traffic_q2,1097,89859,12.21,1640,1.83,0.67
2025-05-01,steep_traffic_q2,968,81460,11.88,1426,1.75,0.68
2025-05-02,steep_traffic_q2,938,80182,11.7,1464,1.83,0.64
2025-05-03,steep_traffic_q2,956,80294,11.91,1425,1.77,0.67
2025-05-04,steep_traffic_q2,989,79070,12.51,1381,1.75,0.72
2025-05-05,steep_traffic_q2,910,75454,12.06,1362,1.81,0.67
2025-05-06,steep_traffic_q2,2188,166420,13.15,4474,2.69,0.49
2025-05-07,steep_traffic_q2,1867,141831,13.16,3787,2.67,0.49
2025-05-08,steep_traffic_q2,1960,158629,12.36,4116,2.59,0.48
2025-05-09,steep_traffic_q2,2194,174597,12.57,4402,2.52,0.5
2025-05-10,steep_traffic_q2,1982,151514,13.08,3859,2.55,0.51
2025-05-11,steep_traffic_q2,2198,165242,13.3,4238,2.56,0.52
2025-05-12,steep_traffic_q2,1862,143255,13.0,3694,2.58,0.5
2025-05-13,steep_traffic_q2,1016,80876,12.56,2048,2.53,0.5
2025-05-14,steep_traffic_q2,911,74080,12.3,1899,2.56,0.48
2025-05-15,steep_traffic_q2,1071,89225,12.0,2287,2.56,0.47
2025-05-16,steep_traffic_q2,916,72971,12.55,1818,2.49,0.5
2025-05-17,steep_traffic_q2,1035,85438,12.11,2126,2.49,0.49
2025-05-18,steep_traffic_q2,1078,93383,11.54,2325,2.49,0.46
2025-05-19,steep_traffic_q2,1024,84534,12.11,2101,2.49,0.49
2025-05-20,steep_traffic_q2,1005,83055,12.1,2080,2.5,0.48
2025-05-21,steep_traffic_q2,1043,89565,11.65,2307,2.58,0.45
2025-05-22,steep_traffic_q2,1034,87074,11.87,2146,2.46,0.48
2025-05-23,steep_traffic_q2,1050,89139,11.78,2199,2.47,0.48
2025-05-24,steep_traffic_q2,1100,92051,11.95,2233,2.43,0.49
2025-05-25,steep_traffic_q2,943,82086,11.49,2099,2.56,0.45
2025-05-26,steep_traffic_q2,1076,85943,12.52,2099,2.44,0.51
2025-05-27,steep_traffic_q2,932,78693,11.84,1988,2.53,0.47
2025-05-28,steep_traffic_q2,1022,83468,12.24,2097,2.51,0.49
2025-05-29,steep_traffic_q2,902,74027,12.18,1872,2.53,0.48
